Reference period,All-items,Food,Shelter,Transportation
2000-01-01,94,91.8,93.8,94.7
2000-02-01,94.3,91.8,94.4,95.6
2000-03-01,94.8,92.1,94.5,97.5
2000-04-01,94.4,92.3,94.5,96.1
2000-05-01,94.7,92.8,94.7,96.6
2000-06-01,95.3,93.1,95,98
2000-07-01,95.6,93.6,95.5,97.6
2000-08-01,95.5,94.1,95.8,96.7
2000-09-01,95.9,94.3,96.3,98.1
2000-10-01,96.3,94.3,97.2,97.8
2000-11-01,96.8,94.3,97.7,99.7
2000-12-01,97,95.3,98.1,98.5
2001-01-01,96.8,95,97.5,97.6
2001-02-01,96.9,95.9,97.4,97.8
2001-03-01,97.1,96.6,98.3,96.8
2001-04-01,97.8,96.9,98.9,98.3
2001-05-01,98.4,97.5,100,99.7
2001-06-01,98.4,97.5,100.3,98.9
2001-07-01,98.1,97.9,99.9,97
2001-08-01,98.2,98,99.9,97.4
2001-09-01,98.4,98.2,99.6,98.9
2001-10-01,98.1,98.4,99.8,96.9
2001-11-01,97.4,98.1,98.4,94.4
2001-12-01,97.7,98.7,98.9,93.7
2002-01-01,98.1,99.3,99.3,94.4
2002-02-01,98.4,100.1,99.4,94.8
2002-03-01,98.8,99.7,99.4,97.1
2002-04-01,99.5,100.2,99.1,99.5
2002-05-01,99.4,99.6,99.4,99.8
2002-06-01,99.6,99.7,99.4,99.7
2002-07-01,100.3,99.8,99.5,100.7
2002-08-01,100.7,100.1,100.3,101.9
2002-09-01,100.8,100.2,100.7,101.8
2002-10-01,101.3,99.9,101.8,102.6
2002-11-01,101.6,100.7,101.7,103.5
2002-12-01,101.5,100.7,100.2,104.2
2003-01-01,102.4,101.3,102.1,105.6
2003-02-01,102.9,101.4,102.5,107.2
2003-03-01,103,101.5,103.2,107.6
2003-04-01,102.3,101.3,102.4,105.5
2003-05-01,102.1,101.7,102.9,104
2003-06-01,102.3,101.7,103.4,103.8
2003-07-01,102.5,101.8,103.3,104.1
2003-08-01,102.8,101.7,103.4,105.9
2003-09-01,103,101.9,103.6,105.6
2003-10-01,102.9,101.9,103.9,103.9
2003-11-01,103.1,102.1,103.9,104.8
2003-12-01,103.6,102.5,104.4,104.7
2004-01-01,103.7,102.4,104.3,105.8
2004-02-01,103.7,102.6,104.6,105.6
2004-03-01,103.7,102.5,104.6,106.2
2004-04-01,104,102.2,105.1,106.7
2004-05-01,104.7,103,105.3,110.2
2004-06-01,104.8,103.7,105.7,109.4
2004-07-01,104.8,103.9,106,108.8
2004-08-01,104.7,104.3,106.2,107.6
2004-09-01,104.8,104.7,106.5,106.9
2004-10-01,105.2,105.3,107,107.6
2004-11-01,105.7,105.6,107.4,109.1
2004-12-01,105.8,105.6,107.5,108.5
2005-01-01,105.8,105.1,107.5,108.8
2005-02-01,105.9,104.9,107.7,109.3
2005-03-01,106.2,105.4,108.1,110.3
2005-04-01,106.4,106.5,108.4,111.2
2005-05-01,106.3,106.4,108.6,110.9
2005-06-01,106.6,106.5,108.8,111.3
2005-07-01,106.8,106.5,109.4,111.8
2005-08-01,107.3,106.9,109.3,113.9
2005-09-01,108.3,106.8,110,116.7
2005-10-01,108.1,107.2,110.7,114
2005-11-01,107.9,107.1,110.8,113.2
2005-12-01,108,107.4,110.5,113.1
2006-01-01,108.9,107.9,111.8,114.7
2006-02-01,108.5,107.9,111.7,112.7
